f^(1): LTE = O(6)
=========================

f^(1): forward 0
-----------------------------------
(weights, stencil)
-2.4499999999997430499832e+00, 0
5.9999999999986837195820e+00, 1
-7.4999999999972422060068e+00, 2
6.6666666666635974181077e+00, 3
-3.7499999999980597742422e+00, 4
1.1999999999993333776871e+00, 5
-1.6666666666656956841130e-01, 6
-----------------------------------
f^(1): forward 1
-----------------------------------
(weights, stencil)
-1.6666666666666740681535e-01, -1
-1.2833333333333314385527e+00, 0
2.4999999999999973354647e+00, 1
-1.6666666666666647422801e+00, 2
8.3333333333333281522926e-01, 3
-2.4999999999999988897770e-01, 4
3.3333333333333318992953e-02, 5
-----------------------------------
f^(1): forward 2
-----------------------------------
(weights, stencil)
3.3333333333333374504104e-02, -2
-4.0000000000000002220446e-01, -1
-5.8333333333333414749688e-01, 0
1.3333333333333341474969e+00, 1
-5.0000000000000011102230e-01, 2
1.3333333333333327597181e-01, 3
-1.6666666666666656027029e-02, 4
-----------------------------------
f^(1): central 0
-----------------------------------
(weights, stencil)
-1.6666666666666666435370e-02, -3
1.4999999999999991118216e-01, -2
-7.4999999999999911182158e-01, -1
-2.1206225181666254028345e-15, 0
7.5000000000000155431223e-01, 1
-1.5000000000000027200464e-01, 2
1.6666666666666690721499e-02, 3
-----------------------------------
f^(1): backward 2
-----------------------------------
(weights, stencil)
1.6666666666666669904817e-02, -4
-1.3333333333333335923854e-01, -3
5.0000000000000011102230e-01, -2
-1.3333333333333337034077e+00, -1
5.8333333333333381442998e-01, 0
3.9999999999999968913755e-01, 1
-3.3333333333333318992953e-02, 2
-----------------------------------
f^(1): backward 1
-----------------------------------
(weights, stencil)
-3.3333333333333131642817e-02, -5
2.4999999999999861222122e-01, -4
-8.3333333333332926251558e-01, -3
1.6666666666666603013880e+00, -2
-2.4999999999999946709295e+00, -1
1.2833333333333312165081e+00, 0
1.6666666666666701823729e-01, 1
-----------------------------------
f^(1): backward 0
-----------------------------------
(weights, stencil)
1.6666666666666810070474e-01, -6
-1.2000000000000101696429e+00, -5
3.7500000000000310862447e+00, -4
-6.6666666666667193652529e+00, -3
7.5000000000000550670620e+00, -2
-6.0000000000000328626015e+00, -1
2.4500000000000072830630e+00, 0
-----------------------------------
=========================
f^(2): LTE = O(5)
=========================

f^(2): forward 0
-----------------------------------
(weights, stencil)
4.5111111111099795323298e+00, 0
-1.7399999999994214761045e+01, 1
2.9249999999987853271932e+01, 2
-2.8222222222208678488187e+01, 3
1.6499999999991434407320e+01, 4
-5.3999999999970560438101e+00, 5
7.6111111111068219248210e-01, 6
-----------------------------------
f^(2): forward 1
-----------------------------------
(weights, stencil)
7.6111111111111195981493e-01, -1
-8.1666666666666998253277e-01, 0
-1.4166666666666625218340e+00, 1
2.6111111111111084959191e+00, 2
-1.5833333333333323711400e+00, 3
5.1666666666666649643247e-01, 4
-7.2222222222222201559738e-02, 5
-----------------------------------
f^(2): forward 2
-----------------------------------
(weights, stencil)
-7.2222222222222229315314e-02, -2
1.2666666666666672735886e+00, -1
-2.3333333333333339254523e+00, 0
1.1111111111111111604544e+00, 1
8.3333333333333328707404e-02, 2
