forward 0
number of lines to read: 7
-3.4999999999977227105319e+00, 0
1.9999999999986005860819e+01, 1
-4.7499999999968245845139e+01, 2
5.9999999999963748109622e+01, 3
-4.2499999999977056575062e+01, 4
1.5999999999992112975633e+01, 5
-2.4999999999988502530357e+00, 6
forward 1
number of lines to read: 7
-2.5000000000000044408921e+00, -1
1.4000000000000030198066e+01, 0
-3.2500000000000028421709e+01, 1
4.0000000000000000000000e+01, 2
-2.7499999999999985789145e+01, 3
9.9999999999999946709295e+00, 4
-1.4999999999999993338662e+00, 5
forward 2
number of lines to read: 7
-1.4999999999999984456878e+00, -2
8.0000000000000053290705e+00, -1
-1.7500000000000031974423e+01, 0
2.0000000000000024868996e+01, 1
-1.2500000000000003552714e+01, 2
3.9999999999999982236432e+00, 3
-4.9999999999999966693309e-01, 4
central 0
number of lines to read: 7
-5.0000000000000022204460e-01, -3
2.0000000000000013322676e+00, -2
-2.4999999999999977795540e+00, -1
-8.8359271590276055821901e-15, 0
2.5000000000000088817842e+00, 1
-2.0000000000000026645353e+00, 2
5.0000000000000033306691e-01, 3
backward 2
number of lines to read: 7
5.0000000000000011102230e-01, -4
-4.0000000000000008881784e+00, -3
1.2500000000000001776357e+01, -2
-2.0000000000000003552714e+01, -1
1.7500000000000000000000e+01, 0
-8.0000000000000000000000e+00, 1
1.5000000000000002220446e+00, 2
backward 1
number of lines to read: 7
1.4999999999999931166172e+00, -5
-9.9999999999999520383653e+00, -4
2.7499999999999864996880e+01, -3
-3.9999999999999801048034e+01, -2
3.2499999999999836575171e+01, -1
-1.3999999999999932498440e+01, 0
2.4999999999999884536805e+00, 1
backward 0
number of lines to read: 7
2.4999999999999946709295e+00, -6
-1.5999999999999973354647e+01, -5
4.2499999999999957367436e+01, -4
-5.9999999999999992894573e+01, -3
4.7500000000000071054274e+01, -2
-2.0000000000000095923269e+01, -1
3.5000000000000301980663e+00, 0
